529679607 F.T.W.   Whiterocks, UT          84085 FNW 1993  1009                 
529885986 W.A.A.   Salt Lake City, UT      84112 FNW 1945  0503                 
528079841 D.E.A.   Salt Lake City, UT      84126 FNO 1934  0901                 
528849498 S.E.D.   Salt Lake City, UT      84111 FNW 1941  1103                 
482419710 J.W.J.   Provo, UT               84605 MNW 1937  0215                 
092988460 G.A.H.   Salt Lake City, UT      84150 MNW 1968  0228                 
529548315 H.E.W.   Layton, UT              84041 FNW 1938  0331                 
529223574 T.W.T.   Park City, UT           84098 MNW 1968  0909                 
385545005 A.P.T.   Salt Lake City, UT      84114 FNW 1991  0202                 
528888489 W.T.C.   Salt Lake City, UT      84111 MNW 1948  1219                 
528772459 L.N.C.   Logan, UT               84322 FHW 1952  0129                 
529198208 K.P.E.   Fruitland, UT           84027 FNW 1964  0710                 
875630929 D.L.H.   Salt Lake City, UT      84104 MNW 1931  0306                 
529370646 E.W.J.   Provo, UT               84604 FNW 1941  0104                 
528941265 H.P.R.   Salt Lake City, UT      84110 FNW 1946  1031                 
528536558 D.C.J.   Whiterocks, UT          84085 MNW 1960  0104                 
529420690 S.F.R.   Salt Lake City, UT      84109 MNW 1970  1015                 
528377643 D.P.S.   Veyo, UT                84782 FNW 1940  0322                 
528709846 C.Y.B.   Provo, UT               84606 FNW 1950  1021                 
528509290 M.C.C.   Salt Lake City, UT      84128 FNW 1940  0822                 
528683602 L.C.B.   Salt Lake City, UT      84106 MHW 1945  1213                 
528714582 B.A.T.   Laketown, UT            84038 MNW 1945  0225                 
528181431 J.J.S.   Salt Lake City, UT      84141 FNW 1978  0120                 
804188488 Y.L.S.   Salt Lake City, UT      84121 FNW 1990  1030                 
528228696 T.L.K.   Salt Lake City, UT      84136 MNW 1968  1031                 
528855798 E.D.S.   Hatch, UT               84735 FNO 1953  0714                 
529281570 T.K.D.   Salt Lake City, UT      84120 FHW 1994  0305                 
551237541 C.  S.   Provo, UT               84604 FNW 1946  0929                 
528278397 M.D.B.   Woodruff, UT            84086 FNW 1929  1024                 
304383243 T.E.W.   Provo, UT               84606 FNO 1972  0306                 
329289604 M.H.J.   Provo, UT               84601 FNO 1996  1119                 
529696983 J.W.L.   Salt Lake City, UT      84124 FHW 1984  0714                 
529272403 T.F.M.   Provo, UT               84605 MNW 1993  0214                 
528271761 Y.C.G.   American Fork, UT       84003 FNW 1966  1101                 
529539985 R.Y.C.   Provo, UT               84602 FNW 1996  0216                 
529019934 A.A.H.   Salt Lake City, UT      84152 MNW 1938  0526                 
528939968 B.A.L.   Lyman, UT               84749 MHW 1929  1103                 
999402624 R.W.H.   Provo, UT               84602 FHO 1933  0131                 
528558659 A.D.H.   Monument Valley, UT     84536 MNW 1995  1127                 
714356695 H.H.S.   Monroe, UT              84754 MNW 1986  0709                 
860467604 J.B.P.   Salt Lake City, UT      84180 MNW 1954  0803                 
529255037 R.F.E.   Whiterocks, UT          84085 FNW 1988  0201                 
529394321 L.L.F.   Salt Lake City, UT      84158 FNW 1976  0716                 
528848302 W.D.H.   Salt Lake City, UT      84126 FNW 1945  0423                 
590918679 D.T.E.   Hyde Park, UT           84318 MNW 1972  0210                 
036788134 L.D.J.   Salt Lake City, UT      84189 FNW 1994  0228                 
738406863 A.C.N.   Salt Lake City, UT      84145 FNW 1963  0127                 
529832129 J.L.S.   Salt Lake City, UT      84148 MNO 1977  0105                 
155905255 K.P.F.   Ibapah, UT              84034 MNW 1997  1220                 
529544472 K.L.R.   Salt Lake City, UT      84105 FNW 1933  0809                 
528495973 J.C.S.   Provo, UT               84601 MNW 1935  0227                 
529903774 R.M.R.   Salt Lake City, UT      84123 FNW 1991  1124                 
529676843 T.R.D.   Woodruff, UT            84086 MNW 1954  0301                 
729038697 A.B.T.   Chester, UT             84623 MNW 1964  0419                 
529764476 C.  S.   Salt Lake City, UT      84120 MNW 1963  1222                 
528886293 E.J.W.   Salt Lake City, UT      84170 FNW 1992  0403                 
528265985 A.R.W.   Salt Lake City, UT      84102 FNW 1962  0824                 
544477637 A.D.L.   Salt Lake City, UT      84127 MNW 1991  0217                 
528147176 S.D.P.   Salt Lake City, UT      84141 MNW 1968  0713                 
529148556 N.T.R.   Salt Lake City, UT      84107 MNW 1982  1117                 
529767742 Y.L.F.   Richmond, UT            84333 MNW 1947  0421                 
528720672 S.C.N.   Salt Lake City, UT      84115 FNW 1984  0521                 
528054661 R.T.N.   Salt Lake City, UT      84120 FNW 1980  0923                 
528576843 H.  S.   Salt Lake City, UT      84110 FNW 1933  0222                 
528933212 M.M.B.   Randolph, UT            84064 FNW 1971  1208                 
521905352 S.E.N.   Salt Lake City, UT      84138 MNW 1992  0727                 
914724896 J.B.Y.   Salt Lake City, UT      84118 MNA 1928  0412                 
720727735 R.H.M.   Salt Lake City, UT      84118 MNW 1940  0929                 
276590758 K.S.Y.   Salt Lake City, UT      84101 FNW 1989  1115                 
529538735 M.A.T.   Croydon, UT             84018 FNW 1936  0724                 
529071084 D.T.S.   Veyo, UT                84782 MHW 1935  0619                 
528925928 A.L.L.   Sevier, UT              84766 MHW 1989  0623                 
529907944 N.L.P.   Springville, UT         84663 FNW 1951  0723                 
360269781 C.Y.T.   Provo, UT               84601 FNW 1962  0702                 
529173967 C.  B.   Tabiona, UT             84072 MHW 1952  0518                 
529977839 D.E.B.   Magna, UT               84044 MNW 1932  0124                 
529866346 T.K.S.   Whiterocks, UT          84085 MNB 1969  0106                 
529701225 S.K.R.   Salt Lake City, UT      84108 FNW 1971  0824                 
529595716 B.G.M.   Provo, UT               84605 MHW 1979  0908                 
528126292 S.L.Y.   Salt Lake City, UT      84113 MNW 1957  0128                 
528815635 J.C.S.   Salt Lake City, UT      84148 MNO 1932  0414                 
529874367 F.C.E.   Salt Lake City, UT      84107 MNW 1943  1118                 
528887912 A.M.Y.   Salt Lake City, UT      84122 MNW 1996  0117                 
528185336 M.A.J.   Salt Lake City, UT      84106 MNW 1944  0928                 
529539331 J.F.T.   Whiterocks, UT          84085 FNW 1972  1124                 
846110957 J.L.B.   Whiterocks, UT          84085 FNW 1950  0225                 
528309697 M.L.S.   Provo, UT               84604 MHW 1994  0724                 
528583301 H.G.A.   Woodruff, UT            84086 FNW 1953  0720                 
529782755 E.Y.B.   Salt Lake City, UT      84148 FHW 1973  1211                 
529174866 F.R.H.   Provo, UT               84603 MNW 1943  0222                 
529229099 C.B.C.   Fruitland, UT           84027 FNW 1970  1219                 
458256196 L.L.F.   Ogden, UT               84415 FNW 1974  0112                 
529070464 K.S.N.   Provo, UT               84602 FNW 1953  1215                 
529316799 F.L.R.   Provo, UT               84606 FNW 1941  0611                 
529560551 F.J.F.   Ogden, UT               84404 FNA 1995  0720                 
528936571 L.R.C.   Provo, UT               84605 FNW 1968  0612                 
529676567 P.G.F.   Fairview, UT            84629 FNW 1967  0212                 
528153455 M.L.P.   Provo, UT               84604 FNW 1954  1008                 
528535255 S.E.S.   Woodruff, UT            84086 FNW 1966  0416                 
528144866 B.B.C.   Provo, UT               84605 MNW 1974  0509                 
529257722 H.G.J.   Salt Lake City, UT      84119 MNW 1932  0630                 
528725674 M.T.B.   Laketown, UT            84038 MNW 1984  0208                 
475913238 K.J.T.   Wellington, UT          84542 MNW 1931  0905                 
253046230 B.  M.   Salt Lake City, UT      84117 FNO 1993  0506                 
529099482 J.L.B.   Orangeville, UT         84537 MNW 1981  0423                 
528081992 T.R.B.   Provo, UT               84604 MNW 1928  0312                 
233832926 C.G.W.   Salt Lake City, UT      84107 FNW 1956  0512                 
378401465 M.A.S.   Vernon, UT              84080 FNA 1958  1126                 
123463187 L.G.G.   Salt Lake City, UT      84116 MNW 1958  1126                 
183955712 A.C.J.   Salt Lake City, UT      84112 FNW 1946  0109                 
528416829 F.G.S.   Whiterocks, UT          84085 FHW 1935  1024                 
365633314 C.D.R.   Salt Lake City, UT      84151 MNW 1994  0519                 
528896017 J.H.B.   Minersville, UT         84752 FNW 1965  0703                 
529327817 P.A.R.   Salt Lake City, UT      84151 MNW 1958  0712                 
528016555 T.R.R.   Provo, UT               84602 MHW 1932  1209                 
528424406 K.E.J.   Whiterocks, UT          84085 MNW 1958  0731                 
147481068 P.R.Y.   Provo, UT               84601 MHW 1966  0425                 
529109893 D.C.S.   Salt Lake City, UT      84120 FNW 1987  0804                 
528325042 P.R.G.   Salt Lake City, UT      84190 MHW 1962  0604                 
533809890 J.A.S.   Provo, UT               84601 FNW 1977  0521                 
529777443 C.R.W.   Provo, UT               84603 FNW 1996  0825                 
528083330 R.C.J.   Delta, UT               84624 FNO 1985  1010                 
529743297 G.B.R.   Salt Lake City, UT      84103 FNA 1947  0708                 
887083500 R.E.M.   Salt Lake City, UT      84145 MNW 1956  1207                 
528174668 K.M.H.   Salt Lake City, UT      84144 FNW 1951  1117                 
598911889 L.  S.   Salt Lake City, UT      84118 FNW 1977  1026                 
529304351 A.B.J.   Salt Lake City, UT      84138 MNW 1928  0301                 
292370080 H.Y.T.   Antimony, UT            84712 MNW 1973  0402                 
112892863 C.R.S.   Salt Lake City, UT      84121 FNW 1949  1021                 
529131996 J.S.S.   Veyo, UT                84782 MNW 1950  0528                 
528143076 R.F.G.   Whiterocks, UT          84085 FNW 1983  0330                 
797869579 C.G.J.   Provo, UT               84602 MHW 1947  0406                 
514215632 J.C.M.   Vernal, UT              84078 FNW 1987  0816                 
936821173 C.S.W.   Salt Lake City, UT      84145 MNW 1992  0505                 
529200515 C.T.L.   Salt Lake City, UT      84131 FNW 1933  0502                 
528187975 J.E.W.   Alpine, UT              84004 FNW 1928  0421                 
529164306 B.H.L.   Provo, UT               84606 FNW 1976  0927                 
528819900 W.J.H.   Salt Lake City, UT      84151 FHW 1973  0322                 
528286026 A.F.C.   Provo, UT               84603 FNW 1993  1113                 
529861156 K.H.M.   Randolph, UT            84064 MHW 1963  0606                 
528816908 G.L.W.   Garland, UT             84312 FNW 1970  0414                 
529022637 C.D.P.   Whiterocks, UT          84085 MNW 1985  1024                 
528659035 J.B.L.   Salt Lake City, UT      84110 MNW 1972  0601                 
528129119 R.B.W.   Salt Lake City, UT      84147 FNW 1962  0208                 
529361393 A.B.F.   Provo, UT               84606 FNW 1948  1205                 
528759751 C.Y.F.   Riverside, UT           84334 MNO 1958  0129                 
528168394 T.R.W.   West Jordan, UT         84081 FNW 1944  0620                 
528141798 H.D.S.   Provo, UT               84606 FHW 1966  1031                 
528117763 H.L.E.   Salt Lake City, UT      84199 FNW 1949  0525                 
529565706 A.D.C.   Provo, UT               84603 FNW 1959  0202                 
